home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
VIL,VAL,2008/2009,12,11/22/08 0:00,0,3,41466,33733,38458,38824,40599,37436,38746,30958,37478,31020,38699,96623,37597,33022,38065,2790,75192,33586,33820,33729,6911,38471
SEV,VAL,2008/2009,12,11/22/08 0:00,0,0,33986,70255,38138,33812,33848,33991,31014,33759,33992,34106,33989,19435,34007,34029,37479,34008,30752,37824,32761,38701,41468,30909
REA,HUE,2008/2009,12,11/22/08 0:00,1,0,30657,41470,30962,25921,28467,30878,18814,25759,32765,42714,30655,33958,37434,,42310,99333,75398,37448,74747,30897,75474,
SAN,ESP,2008/2009,12,11/23/08 0:00,3,0,37579,33634,37581,33828,80497,37512,32999,35638,150644,33892,38382,25563,24137,,33768,75196,47193,24099,33872,24852,37429,32764
BAR,GET,2008/2009,12,11/23/08 0:00,1,1,32657,33988,30661,37482,,26146,36615,39854,96643,33639,26169,34382,37473,32675,37427,37468,41156,27420,37471,37461,37474,37469
OSA,ALM,2008/2009,12,11/23/08 0:00,3,1,74736,72541,33865,,72542,33870,42369,38424,33641,30744,23853,96613,74403,74404,18501,115229,,5243,37419,37622,46384,75310
COR,BIL,2008/2009,12,11/23/08 0:00,3,1,33018,33756,34104,150328,41167,37793,37449,38573,37441,31045,37452,33764,33025,33993,37604,154938,30287,37410,96619,37605,33866,33030
MAL,MAL,2008/2009,12,11/23/08 0:00,2,2,32678,24131,33856,30276,33861,38160,31498,38398,41718,37411,33028,33827,33843,5233,41707,38479,33666,102612,11758,43310,37450,45744
NUM,AMA,2008/2009,12,11/23/08 0:00,1,1,75195,75199,102614,75206,74435,38008,,75216,38550,97226,102002,30664,33636,30839,30689,34103,33632,25924,38492,30663,38460,37412
SPG,BET,2008/2009,12,11/23/08 0:00,1,2,33630,74743,75608,75395,74752,33887,33611,97334,41294,24383,34582,46531,31303,33655,30750,115297,42173,33665,37422,25571,38889,38578
SEV,BAR,2008/2009,13,11/29/08 0:00,0,3,33986,70255,33812,33990,33848,37202,34000,95509,33992,34106,33989,32657,33988,30740,37482,30661,39854,36615,26146,30981,33639,30626
GET,REA,2008/2009,13,11/29/08 0:00,3,1,34382,37473,32675,37427,37468,41156,27420,37471,37461,37506,37469,30657,41470,30962,25921,28467,30878,18814,32765,30655,37576,42714
ALM,COR,2008/2009,13,11/30/08 0:00,0,1,96613,74403,74404,18501,37622,37419,5243,45605,,46384,75310,33018,33756,34104,37451,41167,37793,37449,38573,37441,31045,34956
HUE,VIL,2008/2009,13,11/30/08 0:00,1,2,33958,42310,37434,37440,99333,75474,74747,37448,75398,30897,18628,41466,30279,,38824,40599,38746,42479,37436,38699,38362,70297
ESP,SPG,2008/2009,13,11/30/08 0:00,0,1,25563,28439,,33768,75196,24099,47193,33773,37429,24852,32764,33630,74743,75608,75395,74752,33887,33611,,38004,24383,34582
AMA,SAN,2008/2009,13,11/30/08 0:00,4,1,30664,37413,30839,30689,34103,33632,25924,38492,30663,38460,37412,37579,33896,37581,33828,80497,35638,37512,32999,33892,38382,150644
VAL,BET,2008/2009,13,11/30/08 0:00,3,2,19435,34007,30752,37479,34008,30666,37824,32761,30448,41468,30909,46531,31303,33655,30750,115297,42173,33665,37422,25571,38889,38578
VAL,MAL,2008/2009,13,11/30/08 0:00,3,0,96623,37597,33022,38065,2790,33586,33820,75192,6911,33729,39142,32678,24131,33849,30276,33861,37491,38160,31498,38398,25574,33028
MAL,OSA,2008/2009,13,11/30/08 0:00,4,2,33827,33843,5233,41707,38479,33666,102612,11758,43310,37450,45744,24591,72541,37718,33865,72542,33870,42369,38424,30907,30744,37497
BIL,NUM,2008/2009,13,11/30/08 0:00,2,0,33764,33025,33993,159881,154938,37605,37410,33866,30277,96619,33030,75195,75199,102614,75206,74435,150498,38008,75216,38550,97226,102002
VIL,GET,2008/2009,14,12/6/08 0:00,3,3,41466,30279,38458,56678,40599,30958,38746,37436,37478,38699,70297,34382,37473,32675,37427,37468,41156,37471,27420,37461,38044,37469
BAR,VAL,2008/2009,14,12/6/08 0:00,4,0,32657,33988,30740,30661,30738,39854,36615,33074,30981,30626,26169,19435,34007,34029,30994,34575,30666,38701,37824,32761,41468,30909
SPG,AMA,2008/2009,14,12/6/08 0:00,2,5,33630,74743,75608,75395,74752,33887,33611,,38004,24383,34582,30664,37413,30839,30689,34103,33632,25924,38492,30663,37412,38460
